age,period_days,star_1_mass,star_2_mass
100000,2.99999748213979,1,1.4
220000,2.9999944683175,1,1.4
364000,2.99999086234083,1,1.4
536800,2.99998654924037,1,1.4
744160,2.99998139169334,1,1.4
992992,2.99997522514052,1,1.4
1291590.4,2.99996785171712,1,1.4
1649908.48,2.99995903275902,1,1.4
2079890.176,2.99994847909239,1,1.4
2595868.2112,2.99993583914486,1,1.4
3215041.85344,2.99992068471418,1,1.4
3958050.224128,2.9999024949674,1,1.4
4849660.2689536,2.99988063826802,1,1.4
5919592.32274432,2.99985435216518,1,1.4
7203510.78729318,2.99982272002015,1,1.4
8744212.94475182,2.99978464177488,1,1.4
10593055.5337022,2.999738793688,1,1.4
12811666.6404426,2.99968358872628,1,1.4
15473999.9685311,2.99961712307685,1,1.4
18668799.9622374,2.99953710431185,1,1.4
22502559.9546848,2.99944078716106,1,1.4
27103071.9456218,2.99932486223869,1,1.4
32623686.3347462,2.99918534709961,1,1.4
39248423.6016954,2.99901744996972,1,1.4
47198108.3220345,2.99881538629067,1,1.4
56737729.9864414,2.99857221225974,1,1.4
68185275.9837297,2.9982795621991,1,1.4
81922331.1804756,2.9979273407988,1,1.4
98406797.4165707,2.99750335439184,1,1.4
118188156.899885,2.99699286676761,1,1.4
141925788.279862,2.99637805525761,1,1.4
170410945.935834,2.99563732883745,1,1.4
204593135.123001,2.99474450931585,1,1.4
245611762.147601,2.99366778020873,1,1.4
294834114.577121,2.99236837671107,1,1.4
353900937.492546,2.99079893832611,1,1.4
424781124.991055,2.98890138404639,1,1.4
509837349.989266,2.98660416262673,1,1.4
611904819.987119,2.98381866509732,1,1.4
734385783.984543,2.98043444169903,1,1.4
881362940.781451,2.97631278281818,1,1.4
1055105238.97611,2.97135377599013,1,1.4
1208216053.88592,2.96690942612353,1,1.4
1351638010.97054,2.9626803151877,1,1.4
1490165742.06455,2.95853270823992,1,1.4
1626039240.27383,2.95440261322077,1,1.4
1760337412.90887,2.95025828141103,1,1.4
1893586139.38997,2.94608339389371,1,1.4
2026040738.96534,2.94186929966325,1,1.4
2157822244.70961,2.93761120434923,1,1.4
2288984165.1218,2.93330641734947,1,1.4
2419545301.54348,2.9289531194466,1,1.4
2549506349.7111,2.92455003869162,1,1.4
2678858417.88641,2.92009629593674,1,1.4
2807586868.42322,2.91559106349532,1,1.4
2935674528.87704,2.91103358767044,1,1.4
3063104358.22795,2.90642313652173,1,1.4
3189859557.14245,2.90175893513206,1,1.4
3315922808.15556,2.89704032871624,1,1.4
3441275832.44976,2.89226654448612,1,1.4
3565899327.26811,2.88743709851891,1,1.4
3689772977.53474,2.88255135823244,1,1.4
3812875570.87521,2.87760874457224,1,1.4
3935185121.94051,2.87260875723507,1,1.4
4056678981.51976,2.86755069614474,1,1.4
4177334942.35561,2.86243444827745,1,1.4
4297132393.33738,2.85725951862616,1,1.4
4416052381.87759,2.85202551733352,1,1.4
4534077011.11361,2.84673189150682,1,1.4
4651189265.70496,2.84137808668709,1,1.4
4767373650.43045,2.83596350513535,1,1.4
4882616379.36218,2.8304875465509,1,1.4
4996904620.08256,2.82494965518528,1,1.4
5110225955.00898,2.81934844320395,1,1.4
5222568576.72069,2.81368398741029,1,1.4
5333922133.1232,2.8079556064844,1,1.4
5444277745.32362,2.80216254534789,1,1.4
5553627234.622,2.79630414036539,1,1.4
5661961344.27439,2.79037976577327,1,1.4
5769268425.6003,2.78438893397564,1,1.4
5875532709.47238,2.77833145008407,1,1.4
5980731870.81369,2.77220759132758,1,1.4
6084835525.76785,2.76601826836912,1,1.4
6187803236.87797,2.75976518205129,1,1.4
6289583939.88687,2.75345096242889,1,1.4
6390118945.75553,2.74707898534925,1,1.4
6489344316.84535,2.74065331855646,1,1.4
6587191898.1614,2.73417915306197,1,1.4
6683593122.34393,2.72766201037392,1,1.4
6778487407.67289,2.72120837871642,1,1.4
6871834624.72414,2.71462113143697,1,1.4
6963915191.32347,2.70798192061829,1,1.4
7054909019.48101,2.70127845625828,1,1.4
7144723432.5064,2.69451777577191,1,1.4
7233497952.95389,2.68768932366463,1,1.4
7321247204.72404,2.68079075087356,1,1.4
7405720197.23889,2.67400547094177,1,1.4
7484086786.7231,2.6675796997434,1,1.4
7555633547.9561,2.66159885515484,1,1.4
7620744068.4376,2.65605741791173,1,1.4
7680225549.82271,2.65090975136043,1,1.4
7734990744.05776,2.64609461461503,1,1.4
7785990618.86856,2.64154414486194,1,1.4
7833922229.14396,2.63720650598005,1,1.4
7879310225.90783,2.63304308919627,1,1.4
7922626205.76015,2.62901735080748,1,1.4
7964230716.65302,2.6251011040351,1,1.4
8004399379.1316,2.62127263625711,1,1.4
8043314904.67056,2.61751796264238,1,1.4
8081137385.48219,2.6138246327621,1,1.4
8117997032.33975,2.61018241772835,1,1.4
8153994220.99013,2.60658354302627,1,1.4
8189212027.57961,2.60302140215372,1,1.4
8223722920.03371,2.5994904622852,1,1.4
8257585383.6081,2.59598618948428,1,1.4
8290843616.39849,2.59250527782875,1,1.4
8323537581.62815,2.58904476948007,1,1.4
8355699730.79741,2.58560190082875,1,1.4
8387379663.16795,2.58217296309417,1,1.4
8418593762.12277,2.57875672309078,1,1.4
8449350211.22142,2.57535349642331,1,1.4
8479662514.29317,2.57196248748236,1,1.4
8509526374.22988,2.56858500050963,1,1.4
8538961130.45194,2.56521967140728,1,1.4
8567981015.28967,2.56186541379865,1,1.4
8596592949.71325,2.55852254028078,1,1.4
8624803475.39985,2.55519107171081,1,1.4
8652619374.21852,2.55187098489389,1,1.4
8680046589.4724,2.54856221737712,1,1.4
8707098412.89621,2.54526404224959,1,1.4
8733779389.81414,2.5419766286769,1,1.4
8760090777.04944,2.53870059356053,1,1.4
8786039535.96988,2.53543582353439,1,1.4
8811626696.20479,2.53218293624556,1,1.4
8836854964.1659,2.52894220548279,1,1.4
8861732441.84578,2.52571348657602,1,1.4
8886265259.19829,2.52249676220123,1,1.4
8910453930.97155,2.51929271308838,1,1.4
8934300664.2306,2.51610182217171,1,1.4
8957809501.0111,2.51292409891912,1,1.4
8980984477.13675,2.50975994926995,1,1.4
9003828957.98143,2.50660968052182,1,1.4
9026346877.6204,2.5034735148268,1,1.4
9048542256.54615,2.50035147710289,1,1.4
9070427946.63031,2.49724273351889,1,1.4
9092009306.55493,2.49414722688315,1,1.4
9113282567.48459,2.49106617856951,1,1.4
9134250853.05544,2.487999888935,1,1.4
9154920626.69662,2.48494817739459,1,1.4
9175295488.69976,2.48191129799184,1,1.4
9195379355.42299,2.47888934200752,1,1.4
9215177974.8823,2.47588202110303,1,1.4
9234692209.60334,2.47289012259135,1,1.4
9253925322.53568,2.46991370300186,1,1.4
9272882440.74954,2.46695281576072,1,1.4
9291567560.6852,2.46400755097326,1,1.4
9309984898.82976,2.46107794178794,1,1.4
9328138628.07653,2.45816392171958,1,1.4
9346032219.86844,2.4552657236624,1,1.4
9363669816.72575,2.45238335621606,1,1.4
9381056157.21206,2.44951671656226,1,1.4
9398195425.36704,2.44666579686823,1,1.4
9415091712.94211,2.44383050350958,1,1.4
9431749069.71658,2.441010885759,1,1.4
9448172892.55933,2.43820668449744,1,1.4
9464367271.77096,2.4354178262763,1,1.4
9480335093.61669,2.4326444287205,1,1.4
9496080238.49334,2.42988638864578,1,1.4
9511606458.1573,2.4271437035929,1,1.4
9526917598.29814,2.42441629354488,1,1.4
9542017328.07695,2.4217040568242,1,1.4
9556909107.087,2.41900702354728,1,1.4
9571596515.4949,2.41632512931426,1,1.4
9586083341.18301,2.41365824105919,1,1.4
9600374354.41473,2.41100604351241,1,1.4
9614472583.17112,2.40836852255878,1,1.4
9628381223.5796,2.40574561799844,1,1.4
9642104060.60193,2.403136958744,1,1.4
9655643585.4805,2.40054281491533,1,1.4
9669003166.49701,2.39796302573351,1,1.4
9682185893.63313,2.39539758121075,1,1.4
9695195594.57361,2.39284616564922,1,1.4
9708037868.44312,2.39030822952894,1,1.4
9720714887.13829,2.38778368114598,1,1.4
9733227191.49036,2.38527299625264,1,1.4
9745577784.40727,2.38277602099858,1,1.4
9757769429.76643,2.38029270430304,1,1.4
9769805011.65536,2.37782292057205,1,1.4
9784247709.92208,2.37483428972165,1,1.4
9801578947.84214,2.3712114982169,1,1.4
9822376433.3462,2.3668106935968,1,1.4
9847333415.95109,2.36145057521082,1,1.4
9877281795.07695,2.35490163254995,1,1.4
9910192382.02861,2.34755388138529,1,1.4
9942429269.14435,2.34019959542029,1,1.4
9973942803.23781,2.33285390071429,1,1.4
10004718841.26,2.32552480170865,1,1.4
10034761362.1171,2.31821636703238,1,1.4
10064083100.3384,2.31093005650357,1,1.4
10092699687.8046,2.30366719211342,1,1.4
10120629132.1079,2.29642854677675,1,1.4
10147890561.3611,2.28921465488267,1,1.4
10174503663.9769,2.2820247921945,1,1.4
10200486334.7068,2.27485947602289,1,1.4
10225856992.9491,2.26771822711994,1,1.4
10250632781.3255,2.26060131620595,1,1.4
10274830918.3717,2.25350848973594,1,1.4
10298467792.019,2.24643860799338,1,1.4
10321557550.1482,2.23939310539423,1,1.4
10344116383.6342,2.2323716902533,1,1.4
10366159631.1795,2.22537412903353,1,1.4
10387701912.5367,2.21839985834661,1,1.4
10408756663.8504,2.21144929985885,1,1.4
10429337670.1433,2.20452153083051,1,1.4
10449457063.9552,2.19761717891805,1,1.4
10469127645.9529,2.19073619106799,1,1.4
10488361864.8883,2.18387859866007,1,1.4
10507171943.2677,2.17704376162845,1,1.4
10525568972.486,2.17023209294065,1,1.4
10543564375.0602,2.16344306208335,1,1.4
10561168640.2391,2.15667685281206,1,1.4
10578392289.2169,2.14993306272938,1,1.4
10595245125.7968,2.14321180481433,1,1.4
10611736909.2102,2.13651245944261,1,1.4
10627876461.0213,2.12983566773574,1,1.4
10643673215.425,2.12318075104799,1,1.4
10659135628.3199,2.11654730558225,1,1.4
10674271550.2341,2.10993629237344,1,1.4
10689089792.2283,2.10334743002825,1,1.4
10703598678.1901,2.09677991425759,1,1.4
10717805502.0556,2.09023442856056,1,1.4
10731718174.8065,2.08371074785185,1,1.4
10745344222.4809,2.07720836774719,1,1.4
10758690516.657,2.07072739162355,1,1.4
10771763925.462,2.06426780643783,1,1.4
10784571190.6047,2.05782959866434,1,1.4
10797118928.0336,2.05141231368319,1,1.4
10809413205.7514,2.04501619289915,1,1.4
10821460230.6226,2.03864110005681,1,1.4
10833265982.1766,2.03228654144665,1,1.4
10844835895.178,2.02595283124121,1,1.4
10856175614.4925,2.01963955202535,1,1.4
10867290330.1286,2.01334712959278,1,1.4
10878185533.0709,2.0070752420584,1,1.4
10888866352.1826,2.00082374120949,1,1.4
10899337718.1463,1.9945922797258,1,1.4
10909604206.9064,1.98838123641838,1,1.4
10919670647.5539,1.98218895018951,1,1.4
10929540471.9201,1.97601751062341,1,1.4
10939218747.7322,1.96986647334241,1,1.4
10948710110.6883,1.96373518134781,1,1.4
10958018625.4614,1.95762418734459,1,1.4
10967148723.2678,1.9515330230329,1,1.4
10976104422.5009,1.94546166482049,1,1.4
